< 0.5 to < 0.5,< 0.5 to > 0.5,> 0.5 to > 0.5,> 0.5 to < 0.5
37.0,9.0,30.4,4.6
3.6,9.4,4.6,6.0
10.0,14.4,95.4,13.6
6.0,35.0,29.8,15.2
12.8,15.8,5.8,4.2
25.8,3.0,9.6,4.8
35.4,2.2,6.8,2.6
41.2,2.6,4.0,22.2
7.6,6.6,10.4,2.4
17.6,4.2,13.0,3.8
,12.4,8.0,16.6
,6.8,14.4,21.0
,3.4,6.2,8.4
,3.2,3.0,3.0
,2.6,26.6,11.8
,,5.0,12.0
,,4.6,7.0
,,30.6,11.4
,,3.6,4.4
,,11.2,6.2
,,5.0,6.6
,,12.0,4.4
,,8.8,4.8
,,26.0,13.4
,,49.0,16.2
,,16.4,15.8
,,15.8,4.6
,,8.2,14.6
,,4.2,
,,6.0,
,,28.6,
,,29.6,
,,43.4,
,,16.6,
,,4.2,
,,9.6,
,,15.4,
,,9.0,
,,11.2,
,,16.4,
,,7.8,
,,20.6,
,,12.6,
,,18.2,
,,3.6,
,,4.0,
,,23.2,
,,9.8,
,,25.2,
,,3.2,
,,3.6,
,,13.0,
,,8.2,
,,3.4,
,,29.6,
,,8.6,
,,16.0,
,,2.6,
,,3.0,
,,41.4,
,,4.0,
,,3.6,
,,2.0,
,,12.4,
,,35.0,
,,8.0,
,,8.6,
,,5.8,
,,19.8,
,,4.8,
,,18.6,
,,4.0,
,,2.2,
,,3.4,
,,7.6,
,,3.4,
,,6.0,
,,3.2,
,,13.6,
,,12.6,
,,4.0,
,,2.4,
,,8.4,
,,3.6,
,,14.4,
,,13.6,
,,48.6,
,,24.8,
,,7.4,
,,44.2,
,,34.8,
,,5.6,
,,34.0,
,,66.8,
,,15.2,
,,6.6,
,,51.8,
,,2.2,
,,19.4,
,,5.8,
,,2.2,
,,6.6,
,,21.4,
,,61.2,
,,13.2,
,,5.6,
,,7.6,
,,6.2,
,,2.2,
,,5.2,
,,5.0,
,,17.0,
,,15.2,
,,11.4,
,,21.8,
,,4.6,
,,3.4,
,,17.0,
,,6.0,
,,12.8,
,,7.2,
,,18.6,
,,4.8,
,,5.4,
,,3.2,
,,7.0,
,,3.0,
,,5.8,
,,9.2,
,,3.0,
,,4.6,
,,3.4,
,,12.2,
,,11.2,
,,40.2,
,,2.8,
,,2.8,
,,11.8,
,,11.4,
,,3.2,
,,17.0,
,,3.6,
,,8.4,
,,8.0,
,,35.4,
,,9.0,
,,2.2,
,,16.0,
,,8.4,
,,39.6,
,,11.0,
,,6.8,
,,4.6,
,,4.4,
,,7.4,
,,11.4,
,,13.2,
,,16.0,
,,20.0,
,,5.0,
,,3.8,
,,10.0,
,,3.8,
,,4.2,
,,3.2,
,,10.0,
,,6.0,
,,8.4,
,,2.4,
,,9.4,
,,18.8,
,,4.6,
,,14.6,
,,4.2,
,,6.6,
,,6.4,
,,3.6,
,,15.0,
,,4.2,
,,16.8,
,,27.4,
,,44.6,
,,6.2,
,,8.8,
,,2.6,
,,7.4,
,,5.2,
,,12.2,
,,25.0,
,,10.4,
,,38.6,
,,10.0,
,,9.2,
,,10.4,
,,6.2,
,,11.2,
,,2.0,
,,10.4,
,,6.0,
,,4.8,
,,9.2,
,,7.2,
,,13.4,
,,3.8,
,,11.4,
,,4.4,
,,11.8,
,,4.4,
,,14.0,
,,9.4,
,,2.0,
,,4.0,
,,7.2,
,,5.2,
,,4.8,
,,9.8,
,,11.0,
,,4.0,
,,4.8,
,,34.6,
,,6.6,
,,12.2,
,,2.0,
,,30.0,
,,9.8,
,,7.0,
,,7.2,
,,4.6,
,,4.0,
,,4.4,
,,17.2,
,,2.0,
,,5.0,
,,22.2,
,,11.4,
,,6.0,
,,8.6,
,,2.6,
,,12.2,
,,5.0,
,,11.2,
,,14.2,
,,13.0,
,,17.0,
,,9.0,
,,9.6,
,,26.0,
,,7.0,
,,9.6,
,,27.2,
,,3.8,
,,2.8,
,,3.4,
,,4.4,
,,5.4,
,,5.4,
,,15.6,
,,3.0,
,,6.4,
,,5.6,
,,8.4,
,,37.8,
,,12.8,
,,6.6,
,,3.2,
,,9.0,
,,5.4,
,,11.0,
,,2.2,
,,3.2,
,,2.6,
,,4.4,
,,9.6,
,,2.8,
,,6.2,
,,7.6,
,,11.6,
,,3.0,
,,2.0,
,,10.4,
,,2.4,
,,2.2,
,,6.8,
,,4.0,
,,36.2,
,,8.2,
,,40.4,
,,6.8,
,,10.8,
,,3.6,
,,7.2,
,,11.0,
,,13.0,
,,25.4,
,,57.2,
,,2.4,
,,4.0,
,,4.6,
,,4.2,
,,11.8,
,,20.4,
,,25.6,
,,3.6,
,,3.2,
,,34.4,
,,5.4,
,,5.4,
,,13.6,
,,22.0,
,,7.0,
,,3.0,
,,6.0,
,,10.6,
,,3.6,
,,10.2,
,,5.6,
,,2.4,
,,9.0,
,,10.0,
,,2.2,
,,16.6,
,,16.8,
,,6.8,
,,22.0,
,,3.2,
,,5.6,
,,5.4,
,,14.4,
,,10.4,
,,2.4,
,,24.6,
,,7.8,
,,2.8,
,,90.6,
,,8.0,
,,2.6,
,,3.6,
,,7.8,
,,14.8,
,,56.0,
,,28.0,
,,5.4,
,,4.2,
,,11.4,
,,2.0,
,,9.6,
,,3.6,
,,3.8,
,,19.2,
,,41.6,
,,11.8,
,,3.2,
,,28.6,
,,22.8,
,,8.8,
,,9.2,
,,11.8,
,,14.2,
,,27.0,
,,3.4,
,,41.6,
,,2.8,
,,16.6,
,,4.8,
,,23.2,
,,6.8,
,,10.6,
,,12.8,
,,12.0,
,,2.2,
,,2.0,
,,3.2,
,,2.8,
,,3.4,
,,2.6,
,,2.6,
,,2.4,
,,2.6,
,,2.6,
,,2.2,
,,3.6,
,,4.0,
,,4.2,
,,12.6,
,,2.8,
,,7.2,
,,6.2,
,,2.0,
,,12.6,
,,3.8,
,,5.0,
,,4.0,
,,17.0,
,,9.8,
,,5.8,
,,8.8,
,,8.0,
,,8.8,
,,30.4,
,,34.8,
,,12.0,
,,13.6,
,,19.6,
,,14.8,
,,11.2,
,,17.2,
,,8.0,
,,7.0,
,,4.8,
,,5.6,
,,4.6,
,,17.4,
,,17.2,
,,8.4,
,,50.6,
,,13.0,
,,29.2,
,,36.4,
,,6.4,
,,9.0,
,,11.0,
,,5.0,
,,10.8,
,,3.0,
,,5.6,
,,16.8,
,,10.4,
,,22.6,
,,7.2,
,,2.2,
,,30.6,
,,3.2,
,,18.4,
,,40.6,
,,6.0,
,,20.0,
,,3.2,
,,9.6,
,,27.4,
,,18.6,
,,3.4,
,,6.0,
,,19.4,
,,5.8,
,,7.8,
,,18.2,
,,3.6,
,,2.4,
,,8.4,
,,16.2,
,,19.2,
,,4.8,
,,20.4,
,,7.8,
,,10.0,
,,3.8,
,,10.4,
,,45.4,
,,10.2,
,,4.8,
,,7.4,
,,3.4,
,,2.6,
,,11.2,
,,10.2,
,,16.0,
,,10.8,
,,24.2,
,,3.6,
,,17.2,
,,8.8,
,,4.6,
,,36.2,
,,6.4,
,,12.0,
,,4.6,
,,9.6,
,,4.0,
,,25.8,
,,2.8,
,,28.8,
,,46.2,
,,6.0,
,,5.6,
,,52.6,
,,14.4,
,,7.6,
,,3.2,
,,15.6,
,,5.2,
,,18.0,
,,25.8,
,,17.0,
,,6.4,
,,2.2,
,,9.2,
,,7.8,
,,5.6,
,,46.2,
,,35.6,
,,13.6,
,,55.0,
,,2.8,
,,11.4,
,,15.4,
,,23.0,
,,75.2,
,,56.0,
,,5.8,
,,4.0,
,,15.4,
,,2.4,
,,13.8,
,,6.4,
,,13.8,
,,2.8,
,,33.4,
,,34.2,
,,7.6,
,,8.8,
,,15.6,
,,10.8,
,,3.8,
,,17.4,
,,2.6,
,,50.4,
,,5.4,
,,4.2,
,,4.8,
,,3.8,
,,2.0,
,,12.2,
,,8.4,
,,18.4,
,,39.8,
,,20.2,
,,6.6,
,,2.4,
,,15.2,
,,3.0,
,,6.0,
,,9.0,
,,8.6,
,,3.8,
,,5.2,
,,2.2,
,,10.0,
,,18.8,
,,12.0,
,,5.4,
,,13.2,
,,8.2,
,,8.4,
,,4.6,
,,2.0,
,,6.0,
,,6.2,
,,18.0,
,,24.8,
,,21.2,
,,8.0,
,,19.0,
,,5.6,
,,9.6,
,,28.4,
,,4.2,
,,3.8,
,,13.8,
,,5.8,
,,16.2,
,,4.0,
,,33.2,
,,4.8,
,,5.8,
,,6.8,
,,10.8,
,,10.2,
,,4.0,
,,3.6,
,,27.2,
,,8.2,
,,11.2,
,,8.0,
,,4.8,
,,6.0,
,,12.8,
,,3.2,
,,3.4,
,,2.6,
,,11.4,
,,4.2,
,,4.4,
,,4.8,
,,41.2,
,,10.0,
,,23.2,
,,2.4,
,,2.2,
,,7.6,
,,7.6,
,,5.6,
,,13.8,
,,11.4,
,,8.0,
,,2.8,
,,4.0,
,,12.8,
,,5.2,
,,43.8,
,,5.4,
,,12.2,
,,25.8,
,,5.2,
,,6.4,
,,22.4,
,,6.2,
,,16.6,
,,5.8,
,,4.6,
,,5.4,
,,15.4,
,,3.4,
,,33.4,
,,17.4,
,,12.8,
,,4.2,
,,8.8,
,,17.8,
,,35.4,
,,9.0,
